"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승종료역 코드","환승종료 호선","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
547,충정로,"2532","5",애오개 방면,"4","1",충정로,"0243","2",아현 방면,"4","3","04:41"
548,충정로,"2532","5",애오개 방면,"4","1",충정로,"0243","2",시청 방면,"4","3","04:41"
549,종로3가,"2535","5",광화문 방면,"8","4",종로3가,"0319","3",을지로3가 방면,"10","4","02:56"
550,종로3가,"2535","5",을지로4가 방면,"1","1",종로3가,"0319","3",안국 방면,"10","4","02:56"
551,종로3가,"2535","5",을지로4가 방면,"1","1",종로3가,"0153","1",종로5가 방면,"6","1","05:26"
552,종로3가,"2535","5",을지로4가 방면,"1","1",종로3가,"0319","3",을지로3가 방면,"10","4","02:56"
553,종로3가,"2535","5",을지로4가 방면,"1","1",종로3가,"0153","1",종각 방면,"6","1","05:26"
554,종로3가,"2535","5",광화문 방면,"8","4",종로3가,"0153","1",종각 방면,"6","1","05:26"
555,종로3가,"2535","5",광화문 방면,"8","4",종로3가,"0153","1",종로5가 방면,"6","1","05:26"
556,종로3가,"2535","5",광화문 방면,"8","4",종로3가,"0319","3",안국 방면,"10","4","02:56"
557,을지로4가,"2536","5",종로3가 방면,"7","4",을지로4가,"0204","2",을지로3가 방면,"4","3","02:59"
558,을지로4가,"2536","5",동대문역사문화공원 방면,"2","1",을지로4가,"0204","2",을지로3가 방면,"4","3","02:59"
559,을지로4가,"2536","5",종로3가 방면,"8","4",을지로4가,"0204","2",동대문역사문화공원 방면,"4","3","02:59"
560,을지로4가,"2536","5",동대문역사문화공원 방면,"1","1",을지로4가,"0204","2",동대문역사문화공원 방면,"4","3","02:59"
561,동대문역사문화공원,"2537","5",청구 방면,"1","1",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:34"
562,동대문역사문화공원,"2537","5",을지로4가 방면,"8","4",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:34"
